Key,Id,Shared Comment,Afrikaans(af),Afrikaans(af) Comments,Arabic(ar),Arabic(ar) Comments,Basque(eu),Basque(eu) Comments,Belarusian(be),Belarusian(be) Comments,Bulgarian(bg),Bulgarian(bg) Comments,Catalan(ca),Catalan(ca) Comments,Chinese (Simplified)(zh-CN),Chinese (Simplified)(zh-CN) Comments,Chinese (Simplified)(zh-hans),Chinese (Simplified)(zh-hans) Comments,Chinese (Traditional)(zh-hant),Chinese (Traditional)(zh-hant) Comments,Croatian(hr),Croatian(hr) Comments,Czech(cs),Czech(cs) Comments,Danish(da),Danish(da) Comments,Dutch(nl),Dutch(nl) Comments,English(en),English(en) Comments,Estonian(et),Estonian(et) Comments,Faroese(fo),Faroese(fo) Comments,Finnish(fi),Finnish(fi) Comments,French(fr),French(fr) Comments,German(de),German(de) Comments,Greek(el),Greek(el) Comments,Hebrew(he),Hebrew(he) Comments,Hungarian(hu),Hungarian(hu) Comments,Icelandic(is),Icelandic(is) Comments,Indonesian(id),Indonesian(id) Comments,Italian(it),Italian(it) Comments,Japanese(ja),Japanese(ja) Comments,Korean(ko),Korean(ko) Comments,Latvian(lv),Latvian(lv) Comments,Lithuanian(lt),Lithuanian(lt) Comments,Norwegian(no),Norwegian(no) Comments,Polish(pl),Polish(pl) Comments,Portuguese(pt),Portuguese(pt) Comments,Romanian(ro),Romanian(ro) Comments,Russian(ru),Russian(ru) Comments,Slovak(sk),Slovak(sk) Comments,Slovenian(sl),Slovenian(sl) Comments,Spanish(es),Spanish(es) Comments,Swedish(sv),Swedish(sv) Comments,Thai(th),Thai(th) Comments,Turkish(tr),Turkish(tr) Comments,Ukrainian(uk),Ukrainian(uk) Comments,Vietnamese(vi),Vietnamese(vi) Comments
"NotificationsDashboardTab",3034280099840,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Notifications","",,,,,,,,,"Mitteilungen","",,,,,,,,,,,"Notifiche","",,,,,,,,,,,,,"Notificações","",,,"Сообщения","",,,,,"Notificaciones","",,,,,,,"Повідомлення","",,
"HolocomDashboardTab",3105772011520,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Holocom","",,,,,,,,,"Holocom","",,,,,,,,,,,"Holocom","",,,,,,,,,,,,,"Holocom","",,,"Холоком","",,,,,"Holocom","",,,,,,,"Голоком","",,
"VRCaptureDashboardTab",3153649991680,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"VR Capture","",,,,,,,,,"VR-Aufnahme","",,,,,,,,,,,"Registrazione VR","",,,,,,,,,,,,,"Gravação de VR","",,,"Запись видео","",,,,,"Grabación de VR","",,,,,,,"Запис відео","",,
"GalleryDashboardTab",3185023385600,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Gallery","",,,,,,,,,"Galerie","",,,,,,,,,,,"Galleria","",,,,,,,,,,,,,"Galeria","",,,"Галерея","",,,,,"Galería","",,,,,,,"Галерея","",,
"MicIsOnButton",112966669172736,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mic is On","",,,,,,,,,"Mikro ist an","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Микрофон включен","",,,,,,,,,,,,,"Мікрофон увімкнено","",,
"MicIsOffButton",113168146759680,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mic is Off","",,,,,,,,,"Mikro ist aus","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Микрофон выключен","",,,,,,,,,,,,,"ікрофон вимкнено","",,
"StartRecordingButton",348604408528896,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Start","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Старт","",,,,,,,,,,,,,"Старт","",,
"SavingLabel",349268090028032,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Saving...","",,,,,,,,,"Sparen...","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сохранение...","",,,,,,,,,,,,,"Збереження...","",,
"DataPrivacyButtonTooltip",353413563940864,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Check your browser","",,,,,,,,,"Prüfe deinen Browser","",,,,,,,,,,,"Controlla il browser","",,,,,,,,,,,,,"Verificar o navegador","",,,"Проверьте свой веб-браузер","",,,,,"Comprueba tu navegador","",,,,,,,"Перевірте веб-браузер","",,
"SavedLabel",353621903409152,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Saved","",,,,,,,,,"Gerettet","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сохранено","",,,,,,,,,,,,,"Збережено","",,
"DataPrivacyButton",353914544193536,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Privacy policy","",,,,,,,,,"Datenschutzerklärung","",,,,,,,,,,,"politica sulla riservatezza","",,,,,,,,,,,,,"Política de Privacidade","",,,"Политика конфиденциальности","",,,,,"Política de privacidad","",,,,,,,"Політика конфіденційності","",,
"EmptyNotificationsHint",354375301070848,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"No notifications","",,,,,,,,,"Keine Benachrichtigungen","",,,,,,,,,,,"Nessuna notifica","",,,,,,,,,,,,,"Nenhuma notificação","",,,"Нет сообщений","",,,,,"Sin notificación","",,,,,,,"Немає повідомлень","",,
"OnboardingInitialMessage",354461636624384,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Welcome to Holoswitch.
Here's how to use it:","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OnboardingStep1Line1",354894107115520,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"This is Holocom!","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OnboardingStep1Line2",355050944724992,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Your smart Device that shows and controls Holoswitch's features.","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolocomPositionLabel",355116996624384,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Position","",,,,,,,,,"Position","",,,,,,,,,,,"Posizione","",,,,,,,,,,,,,"Posição","",,,"Местоположение","",,,,,"Posición","",,,,,,,"Місце","",,
"OnboardingStep1Line3",355222806331392,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Turn your arm around and look at your outer wrist. 
It appears automatically.","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LeftWristButton",356039315685376,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Left Wrist","",,,,,,,,,"Links","",,,,,,,,,,,"Polso sinistro","",,,,,,,,,,,,,"Pulso esquerdo","",,,"Левое запястье","",,,,,"Muñeca izquierda","",,,,,,,"Ліве зап'ястя","",,
"RightWristButton",356377942818816,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Right Wrist","",,,,,,,,,"Rechts","",,,,,,,,,,,"Polso destro","",,,,,,,,,,,,,"Pulso direito","",,,"Правое запястье","",,,,,"Muñeca derecha","",,,,,,,"Праве зап'ястя","",,
"OnboardingStep2Line1",359312693133312,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"You're simply the best! 
Your Holocom has several apps. Let's try the video recording.","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OnboardingStep2Line2",359597545095168,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Select the Recorder and capture a video.","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AlwaysOnLabel",360264342962176,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Always on","",,,,,,,,,"Immer sichtbar","",,,,,,,,,,,"Sempre acceso","",,,,,,,,,,,,,"Sempre ligado","",,,"Всегда включен","",,,,,"Siempre encendido","",,,,,,,"Завжди ввімкнений","",,
"OnboardingStep3Line1",360390125944832,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Nice!
You can now easily record videos in VR.
Open the Dashboard to find your capture.","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AlwaysOnDescription",360521411854336,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Always displays Holocom","",,,,,,,,,"Holocom ist immer sichtbar","",,,,,,,,,,,"Mostra sempre Holocom","",,,,,,,,,,,,,"Exibir sempre Holocom","",,,"Всегда показывать Холоком","",,,,,"Mostrar siempre el Holocom","",,,,,,,"Завжди показувати Голоком","",,
"OnboardingRewardingFeedback",360814996357120,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Great!","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OnboardingComplitionFeedback",361154693038080,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"You're now ready to use Holoswitch. 
You're welcome!","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PopupNotificationsLabel",361257705144320,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pop-up notifications","",,,,,,,,,"Pop-up Benachrichtigungen","",,,,,,,,,,,"Notifiche popup","",,,,,,,,,,,,,"Notificações de pop-up","",,,"Всплывающие сообщения","",,,,,"Notificaciones emergentes","",,,,,,,"Спливаючі повідомлення","",,
"PopupNotificationsDescription",361390446477312,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Show additional popup to not miss notifications","",,,,,,,,,"Zeigt Mitteilungen zusätzlich im Sichtfeld an","",,,,,,,,,,,"Mostra popup aggiuntivi per non perdere le notifiche","",,,,,,,,,,,,,"Mostrar pop-up adicional para não perder notificações","",,,"Показывать всплывающие сообщения чтобы ничего не пропустить","",,,,,"Mostrar ventanas emergentes adicionales para no perder notificaciones","",,,,,,,"Показувати спливаючі повідомлення щоб нічого не пропустити ","",,
"RecordingQuality",362073694404608,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Recording Quality","",,,,,,,,,"Aufnahmequalität","",,,,,,,,,,,"Qualità di registrazione","",,,,,,,,,,,,,"Qualidade de Gravação","",,,"Качество записи","",,,,,"Calidad de grabación","",,,,,,,"Якість запису","",,
"LowQualityLabel",362274467348480,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Low","",,,,,,,,,"Niedrig","",,,,,,,,,,,"Basso","",,,,,,,,,,,,,"Baixo","",,,"Низкое","",,,,,"Bajo","",,,,,,,"Низька","",,
"MediumQualityLabel",362405262524416,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Medium","",,,,,,,,,"Mittel","",,,,,,,,,,,"Media","",,,,,,,,,,,,,"Médio","",,,"Среднее","",,,,,"Medio","",,,,,,,"Середня","",,
"HighQualityLabel",362544865738752,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"High","",,,,,,,,,"Hoch","",,,,,,,,,,,"Alto","",,,,,,,,,,,,,"Alto","",,,"Высокое","",,,,,"Alto","",,,,,,,"Висока","",,
"MBminLabel",362717981442048,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"[MB/min]","",,,,,,,,,"[MB/min]","",,,,,,,,,,,"[MB / min]","",,,,,,,,,,,,,"[MB / min]","",,,"[Мегабайт/минуту]","",,,,,"[MB / min]","",,,,,,,"[Мегабайт/хвилину]","",,
"VideoStabilizationLabel",363007346475008,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Video Stabilization","",,,,,,,,,"Videostabilisierung","",,,,,,,,,,,"Stabilizzazione video","",,,,,,,,,,,,,"Estabilização de Vídeo","",,,"Видео стабилизация","",,,,,"Estabilización de vídeo","",,,,,,,"Відео стабілізація","",,
"NoSnapshotHint",363294148788224,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fill me with some nice shots from VR","",,,,,,,,,"Füll mich mit VR-Aufnahmen","",,,,,,,,,,,"Inviami foto VR","",,,,,,,,,,,,,"Envie-me algumas fotos de VR","",,,"Ваши скриншоты появятся здесь","",,,,,"Envíame fotos de VR","",,,,,,,"Ваші скріншоти з'являться тут","",,
"SyncButtonTooltipLabel",363522469920768,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Send to phone","",,,,,,,,,"Zum Handy schicken","",,,,,,,,,,,"Invia al telefono","",,,,,,,,,,,,,"Enviar para o telefone","",,,"Отправить на телефон","",,,,,"Enviar al teléfono","",,,,,,,"Надіслати на телефон","",,
"UnsyncButtonTooltipLabel",363782806175744,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Delete from phone","",,,,,,,,,"Vom Handy löschen","",,,,,,,,,,,"Elimina dal telefono","",,,,,,,,,,,,,"Apagar do telefone","",,,"Удалить с телефона","",,,,,"Eliminar del teléfono","",,,,,,,"Видалити з телефону","",,
"VideoCaptureHolocomAppLabel",367984383098880,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Recorder","",,,,,,,,,"Videoaufnahme","",,,,,,,,,,,"Registratore","",,,,,,,,,,,,,"Gravador","",,,"Запись","",,,,,"Grabadora","",,,,,,,"Запис","",,
"PeepholeHolocomAppLabel",368195536945152,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Peephole","",,,,,,,,,"Spion","",,,,,,,,,,,"Occhio magico","",,,,,,,,,,,,,"Olho mágico","",,,"Глазок","",,,,,"Ojo mágico","",,,,,,,"Вічко","",,
"HomeHolocomAppLabel",368490836918272,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Home","",,,,,,,,,"Home","",,,,,,,,,,,"Schermo di casa","",,,,,,,,,,,,,"Tela inicial/ecrã inicial","",,,"Домой","",,,,,"Inicio","",,,,,,,"Додому","",,
"ConnectionStatusAlert",368726938484736,"",,,,,,,,,,,,,,,,,,,,,,,,,,,"Oops…not connected
Please connect your phone!","",,,,,,,,,"Hoppla... Verbindung verloren. Bitte Handy verbinden!","",,,,,,,,,,,"Nessuna connessione.
Collega il telefono.","",,,,,,,,,,,,,"Sem conexão.
Por favor, conecte seu telemovel!","",,,"Нет соединения... 
Пожалуйста, подключите свой телефон!","",,,,,"Oh oh Sin conexión.
Por favor conecta tu teléfono!","",,,,,,,"Немає з'єднання... 
Будь ласка, приєднайте свій телефон!","",,